corpus,qid,label,count,lat,lon
cs,Q980,Bavaria,33,49.07861111111111,11.385555555555555
cs,Q683165,Poděbrady,33,50.142477809038,15.118884780406
cs,Q548,Vistula,33,54.3641,18.9522
cs,Q202598,Váh,33,47.7498,18.1476
cs,Q7835,Crimea,33,45,34
cs,Q831190,Bethany,33,31.771411111111,35.261325
cs,Q234364,Tuileries Palace,32,48.86222222222222,2.3311111111111114
cs,Q1471,Seine,32,49.434722222222,0.1175
cs,Q35,Denmark,32,56,10
cs,Q986070,Chrudim,32,49.951136279202,15.795635790875
cs,Q186513,Hispania,32,40.21,-4.35
cs,Q1781,Budapest,31,47.498333333333,19.040833333333
cs,Q617511,Sněžka,30,50.736111111111,15.740277777778
cs,Q1449,Genoa,30,44.407186111111,8.9339833333333
cs,Q393309,Žabljak,30,43.158333333333,19.130277777778
cs,Q2751,Siena,30,43.318333333333,11.331388888889
cs,Q3489993,Brdy,29,49.64,13.74
cs,Q1460,Sicily,29,37.599958333333,14.015377777778
cs,Q131013,Acropolis of Athens,29,37.971666666666664,23.726111111111113
cs,Q173338,Cetinje,29,42.393333333333,18.921944444444
cs,Q626,Volga,29,45.695,47.8975
cs,Q23482,Marseille,29,43.296666666667,5.3763888888889
cs,Q656,Saint Petersburg,28,59.95,30.316666666667
cs,Q794,Iran,28,32,53
cs,Q858,Syria,28,35.216667,38.583333
cs,Q3150,Jena,28,50.927222222222,11.586388888889
cs,Q656603,Jičín,28,50.437229,15.35162
cs,Q1014196,Svojanov Castle,28,49.62747778,16.40844167
cs,Q1865480,Bastille,28,48.853333,2.369167
cs,Q3297078,Sodom,28,31.2,35.5
cs,Q210205,Pest,28,47.5,19.1
cs,Q12544,Byzantine Empire,28,41.01527778,28.98472222
cs,Q38060,Gaul,28,46.5,2.9
cs,Q270,Warsaw,27,52.23,21.011111111111113
cs,Q185541,Brixen,27,46.716549,11.657851
cs,Q31487,Kraków,27,50.061388888889,19.937222222222
cs,Q486382,Castel Sant'Angelo,27,41.903044,12.466307
cs,Q9580,Burgos,27,42.340833333333,-3.6997222222222
cs,Q812761,Baška,27,49.645829055721,18.372367848188
cs,Q1001379,Budeč,26,50.1911,14.2442
cs,Q14112,Corsica,26,42.15,9.0833333333333
cs,Q1202,Saxony,26,51.026944444444,13.358888888889
cs,Q3711,Belgrade,26,44.81777777777778,20.456944444444446
cs,Q26397,Nitra,26,48.314722222222,18.0875
cs,Q45,Portugal,26,38.7,-9.183333333333334
cs,Q205333,Gethsemane,26,31.779419,35.239425
cs,Q12033583,Lipina,26,49.8603,17.7967
cs,Q4198,Ore Mountains,25,50.58333333,13
cs,Q214956,Znojmo,25,48.855540667876,16.048796054219
cs,Q552,Oder,25,53.6017,14.5897
cs,Q23792,Palestine,25,31.625321,35.145264
cs,Q17,Japan,25,35,136
cs,Q39,Switzerland,25,46.798562,8.231973
cs,Q43,Turkey,25,39,36
cs,Q14383,Sava,25,44.831666666667,20.449722222222
cs,Q954596,Havlíčkův Brod,25,49.607899638305,15.580727658514
cs,Q241,Cuba,25,22,-79.5
cs,Q174079,Žermanice,25,49.738467092006,18.442862389886
cs,Q188856,Panthéon,24,48.846198,2.3461054
cs,Q188736,Bosnia,24,44.16,17.78
cs,Q36755,Sinai Peninsula,24,29.5,33.833333333333336
cs,Q582209,Tokaj,24,48.12,21.41
cs,Q101583,Thebes,24,25.720555555556,32.610277777778
cs,Q10305,Zaragoza,24,41.65,-0.88333333333333
cs,Q5806,Mecca,23,21.4225,39.826111111111
cs,Q383169,Marchfeld,23,48.25,16.66666667
cs,Q27306,Kingdom of Prussia,23,53,14
cs,Q31,Belgium,23,50.641111111111,4.6680555555556
cs,Q131329,Arras,23,50.289166666667,2.78
cs,Q4110,Cape Arkona,23,54.676388888889,13.437777777778
